,mouse,condition,CAR 13:0;O4,,FA 16:0,FA 18:1,"NAE 15:1, SPB 17:2;O2","FA 17:1;O, MG O-14:2",FA 18:0,"NAE 15:0, SPB 17:1;O2",,,ST 21:5;O8;GlcA,,"FA 20:4, ST 20:1;O2",NAE 17:4,CoA 10:0,FA 13:3;O4,ST 25:7;O7;GlcA,ST 20:5;O3,,,ST 21:5;O3,"FA 22:6, ST 22:3;O2",,,"CAR 11:0, NAE 16:1;O2, SPB 18:2;O4, NAE 15:1, SPB 17:2;O2","FA 22:4, ST 22:1;O2",,,,ST 18:5;O2;S,,PIP 22:4,PIP 22:3; PIP3 36:3;O,"FA 20:2;O2, MG 17:2, MG O-17:3;O",PIP 24:5,"TG 73:1, TG O-73:2;O","SPBP 15:3;O3, M(IP)2C 28:5;O6",ST 22:6;O;S,NAT 11:0;O3,LPA O-16:2,"CAR 11:0;O4, CAR 10:0; O2, NAE 15:1;O4, LPI O-32:6;O",ST 22:6;O2;S,"LPA O-18:3, FA 22:3;O3, MG 19:3;O, ST 22:0;O5","FA 22:2;O2, MG 19:2, MG O-19:3;O, SQDG 33:0",MGDG 67:3,"TG O-81:14, MGDG 68:4","LPA 16:0, LPA O-16:1;O","LPA O-18:3; FA 22:3;O3; MG 19:3;O, ST 22:0;O5",CAR 13:1;O4,"CAR 15:1, NAE 20:2;O2, MGDG 41:9","LPA O-18:2, FA 22:2;O3, MG 19:2;O","CAR 13:0;O4, CAR 12:0;O2, NAE 17:1;O4, CAR 11:0;O2, NAE 16:1;O4'","TG 81:10;O2, TG O-81:11;O3","FA 23:6;O3, ST 23:3;O5, FA 22:6;O3, ST 22:3;O5, DG 20:5","LPC O-13:1, LPE O-16:1","FA 22:1;O4, LPA 18:0, LPA O-18:1;O",NAT 22:4,"CAR 17:1, NAE 22:2;O2, MGDG 45:9","TG 87:19;O2, TG O-87:20;O3","LPC O-15:2, LPE O-18:2",ST 26:5;O5,"LPC O-15:1, LPE O-18:1, CAR 17:0;O, NAE 22:1;O3","LPC 15:0, LPC O-15:1;O, LPE 18:0, LPE O-18:1;O, CAR 17:0;O2, NAE 22:1;O4",,"BMP 21:1;O, LPI O-18:2, PG 21:1;O","LPI 18:0, LPI O-18:1;O, BMP 20:0, LPG 20:1;O, PG 20:0, PG O-20:1;O","LPA 34:2;O, LPG O-31:3, PA 34:1, PA O-34:2;O","LPG O-33:4, PA 36:2, PA O-36:3;O, LPA O-34:4","LPG O-33:3, PA 36:1, PA O-36:2;O, PEth 34:1",CerPE 38:1;O2,"CerP 39:1;O4, LPC 31:1;O, PC 32:0","CerP 41:2;O4, LPC 33:2;O, PE 36:1",CL 74:0,"PA 40:6, PA O-40:7;O, PEth 38:6, DG 41:7;O2, TG 41:6;O","HexCer 36:6;O4, CAR 34:6;O4, DGCC 31:5","CerP 43:5;O4, PE 38:4, DGTA 34:4, LPC O-34:6","CE 21:5;O3, DG 45:9, CL 78:6","PE O-40:7, PC O-38:7","PE 40:6, PC 38:6",CL 82:10,SHexCer 36:1;O2,"LPI 33:1, LPI O-33:2;O, PI O-33:1","PS 39:5, PS O-39:6;O, PT 38:5, PT O-38:6;O","PS 40:6, PT 39:6, PC O-37:8;O, PE 40:7","LPI 34:2;O, PG 35:2;O","PI 36:4, PG 38:5;O","CerP 47:3;O4, PC 39:2, PE 42:2",HexCer 43:6;O6,"CerPE 42:2;O6, SM 39:2;O6","PI 38:5, PI O-38:6;O","PI 38:4, PG 40:5;O","PC O-43:11, PE O-46:11, Hex2Cer 34:4;O4","PG 42:5, PG O-42:6;O",SHexCer 42:2;O2,"TG 52:10;O3, CerPE 44:3;O5, SM 41:3;O5","PE 46:6;O, PS O-45:6, PT O-44:6","TG 53:10, PA O-52:11","PC 41:3;O, PE 44:3;O, PS O-43:3, PT O-42:3","PS 45:5, PT 44:5, PC 42:6, PE 44:6","CerPE 44:2;O6, SM 41:2;O6"
0,1,0,14.79584492098429,12.619708305580694,16.17569834350471,18.346067434250624,15.872526104294614,15.485578920186144,19.231087629030032,16.830926941728563,15.018450609914519,15.192052357063915,16.28055110492417,12.47642291447432,18.642614997537876,16.660792375756117,15.98481762102885,16.867651020163578,15.299544346736367,13.300231897596381,15.584920313591345,15.146938696998863,13.509498747017906,18.119284223071705,15.470569523017929,16.317327257913313,16.052706881422623,16.28726572050508,22.48193312520248,21.31094819214427,16.134232951815697,16.746888645622,16.226407652955224,17.677170870600648,16.112193081682896,16.53511534850635,16.16923906575666,16.002504239876988,16.318194381631653,18.056366527082638,16.191330461364064,17.754186132832665,15.440736464522555,15.930999379499948,15.776422465734777,17.057174642989327,17.005218664154285,16.467092293591907,15.671491960566465,18.141126068466136,15.84798686211214,15.776945639859083,20.137959254815684,17.898114653307353,16.226567335613428,16.036869286936,15.865892934009937,18.546020195484317,16.025435079232317,15.923602718695461,16.679507122792533,16.853020676822876,16.231951418747393,16.026384152698274,17.503800485635345,16.524816670125055,16.369938150310915,15.824295078906808,17.108047768455382,16.885099000270138,16.89359595300197,16.202796214973084,16.70135470527748,17.316457999492325,16.26371796113491,18.72611179537031,17.63282702995494,17.3422262052373,16.19574354512877,16.105958970356188,17.367608011160527,16.345912938095317,16.448794677641175,14.88080550082646,15.339044017870195,17.411694700972994,16.62532619107985,16.58664373583905,14.745996954240663,16.311514190444356,14.953864288303746,16.44527606040677,19.214905921788123,18.386278571462494,16.08428171930533,17.1494373129321,16.21371142452415,15.581506548123564,15.492842629569468,15.265989455488763,15.76226197615162,14.317935346749472
1,1,0,14.690087358830267,16.334502111610288,16.211426314239002,18.28833521396548,15.840947320190132,15.545555790570004,19.283707686533404,16.755733100538023,14.771830388896767,14.324248027193013,16.147477532177042,14.332750182161252,18.601079192802946,16.320558459163266,15.589173288133841,17.311181763115112,14.631114863115021,13.937674153667388,15.527074413249947,15.367315412458614,13.482811798115495,18.131866026526083,15.559523963832008,16.426595249275024,15.983493634626699,16.276949847430068,22.28505742316692,21.155348705618284,16.081975620139552,16.649614292415286,16.26218747235608,17.963924563322195,16.293696295376968,16.932687231362596,16.296193897384956,16.184497902309325,16.473537485393827,18.089351923995416,16.34738511275481,17.967627500884355,15.45603122824937,16.32313588713528,15.883702896728343,17.38799329456596,16.64449724868355,16.42330168269191,15.715950806692762,18.178360058838734,15.845783890294284,15.721204377385304,20.171940873996924,18.050836256786106,16.002928907530407,15.932528761530897,15.98432807337655,18.680696389803007,16.4289163440988,15.882768260014206,16.658715271130102,17.004351361182483,16.221286854385507,16.315131403884617,17.510458259869324,16.351487938272047,16.469109811115736,16.151665704375294,17.022091987257934,17.011956128068007,16.923620520629314,16.639942338865943,16.67930666020693,17.290206732803192,16.23737996544333,18.51952566243803,17.39091692600545,17.469541099316732,16.142073372718954,15.830393645370863,17.423304365030678,16.334502111610288,16.576857369564358,15.297720367277645,16.104388130988912,17.525194361981484,16.290727430917364,16.473155917958557,15.438542911958004,16.729323968555704,15.723916912381187,16.47530515713929,19.154834341358985,18.25267222706684,16.62471889408322,17.727473144762612,16.58640052960062,16.085244027335445,15.196408024574392,15.575245361055071,16.016921059795184,15.569969904096137
2,1,0,14.945954751522194,16.449107689974653,16.26103069406488,18.337896007162247,16.128868777896248,15.519957245184136,19.303659168017322,17.056394316701656,14.577295332921892,15.03704050111299,16.23555245742709,14.118652561157868,18.62129240409727,16.54924950686895,16.090687702715215,17.204702339190696,15.306645128698303,14.265292111847439,15.760216415004667,15.397103613104461,12.749882722208893,18.24152752226412,15.643768597836477,16.39387896897426,16.089811721855142,16.223227222747408,22.069227417028145,20.93642392337957,16.095386318144858,16.47828317438478,16.171124341807943,17.964356131153473,16.393736220066845,16.873361859829167,16.171225750632654,16.009705289800895,16.414528557837357,18.1640601874355,16.223778899183916,17.972545097744284,15.62653518382242,16.25004253076598,16.001467283114835,17.366291569662913,16.343136963926078,16.65517043115847,15.856924514186893,18.429313108361015,16.0291988793805,15.99085645102346,20.367770647798334,18.266389086651216,16.070744991106668,16.166033816840812,16.05554416042541,18.895527190215258,16.698749479896065,16.219254534120367,16.558951596363375,17.17239600485109,16.48217167755104,16.35907968398025,17.882266190390084,16.449107689974653,16.6402977229179,16.453141434254494,17.360305653253583,16.969070820231085,16.69859360144839,16.97424351970426,16.757873709316016,17.53598346238304,16.46361245344251,18.693085594091563,17.66241989349541,17.472752133984987,16.353280514214944,16.055801207066512,17.2066691201572,16.32762262560983,16.881273883493446,15.606436268470103,16.36175635815342,17.58177910381666,16.565488375981026,16.710111398321104,15.652827535394835,16.983706547889565,16.25130193334825,16.66670907770293,19.450093603318,18.369864395037187,16.529510662929308,17.569713171119222,16.853217193239022,16.014522623848475,16.0029640458061,15.872257728585284,15.902737428745674,15.917813207957868
3,1,0,14.921368573380189,16.52853522862759,16.351147679994583,18.412609259188006,16.039033508774047,15.662599125631576,19.392555256869816,17.03783741667157,14.954653325240372,14.668883840549029,16.321186825886468,14.340811218776583,18.627412697081997,16.378429732169806,15.96244406520591,17.050621987512912,15.269076248386467,13.912125578307085,15.863652564838931,15.31234946197256,12.380257878915284,18.226848670734405,15.897144468360972,16.653889611058446,16.175873365544426,16.310370452685362,22.383826706206722,21.26980857631306,16.383672977271353,16.78932380963501,16.55230041031959,17.884863164476762,16.188788363596288,17.029411846436023,16.246714845115953,16.593696179212742,16.443965599767925,18.29317611574407,16.3031290864775,18.10353970386328,15.562736033317975,16.26431760088897,16.06258475004263,17.224585599463047,16.821528990239578,16.748697647331603,15.890230860416425,18.39080951546187,16.10682803629893,15.704042560645394,20.37569786769067,18.276165350416477,16.27415336294081,16.55696764067508,16.109987845549,18.83919477550699,16.630255555645757,16.204547139785202,16.698781636213727,17.283737940073824,16.419891570805653,16.455014280101647,17.850413756889328,16.532812113971968,16.434038119314756,16.52853522862759,17.468192862453453,17.262571501359268,17.031679253647184,16.748605528739887,16.871650439862343,17.78285561922234,16.755664790306902,18.932920386566554,17.838986906422114,17.512682273408416,16.4230261197663,15.973598942859773,17.535093302926647,16.49426447700317,16.486262924948186,15.757531816634005,15.891997426618373,17.59579826067603,16.642018840131794,16.939218051589375,15.448043134138429,16.72908105103532,15.67828400154857,17.13218791685159,19.492493690188276,18.552335270179718,16.43494739663933,17.547100864347716,16.561405014678208,16.243709263679186,15.430245237040719,15.27411255732451,16.17940489631302,15.543482796956905
4,1,0,15.095523571162968,11.278021885841948,16.27762707073666,18.162491620552682,15.848515446528758,15.557300931882896,19.23928188160914,16.857303519780526,15.143648007516251,14.861436267854035,16.482042792996907,13.652730744873807,18.617054845873305,16.43265386225697,16.30570728110998,16.942135566907176,14.89366930282088,13.07239156599382,15.600475227458475,15.556309890546466,13.74116967334747,18.144728237035114,15.573957691947307,16.668867886217075,16.154167972889308,16.173262706240664,22.162185890846363,21.06689558254283,16.16764083558747,16.38531833045843,16.42125791521344,17.57248185709342,16.055260685004594,16.9667406334198,15.870775279413206,16.216095844824533,16.246403088556004,18.042989416282303,16.110313563974,17.90673081883699,15.598132096754945,16.181557276450363,15.686128261938942,17.320316518984466,16.48916676147483,16.605342946778116,15.721269216600048,18.286549510647077,16.26649055546687,15.967753549616042,20.379618547939483,18.20931365009022,16.024768795280234,16.259995883092166,16.268166065832766,18.78413597016523,16.53083725312105,16.11878541149755,16.75704823494932,17.044417713931228,16.414507251020332,16.34245531653035,17.657929894924436,16.508191901743054,16.72547267701515,16.49412382803531,17.33934298020522,17.29240220091111,16.87925232365282,16.7831130850027,16.954981105858717,17.788561941511627,16.464609064753944,18.91246855932808,17.87593559516159,17.52321681965399,16.630186800246516,16.324074776551125,17.88776361063682,16.862515793597357,16.285033272358845,15.164254356196206,15.76671750106038,17.942220016359645,17.062932306071684,16.893419029902937,15.842771255350508,16.5320254090648,15.919346591193579,16.79556221234635,19.40393574430059,18.47325618401424,16.518555759999035,17.292734920840246,16.330990288139102,15.71302387925565,15.326371564740537,15.4628159149856,15.868917983115297,15.663407598927298
5,1,0,14.76254402250131,11.940342436738877,16.337101440615704,18.463085559038465,15.897695677989255,15.366936141233415,19.328488775254407,16.944934646054794,14.749696312906515,15.148483964224633,16.23360544639599,14.470907231801354,18.546602737060134,16.41676997119855,15.632059940056036,17.062901210090104,14.976573386203645,14.652762210952513,15.82705508442009,15.482327230954125,14.43911751933382,17.95678487828289,15.640294977127294,16.301050881402393,15.726815147827864,16.300515720579345,22.019684111910475,20.911558827775462,15.981432967970134,16.384663509983934,16.164691488545063,17.8785672756285,16.429612660295096,16.790731855432192,16.29505729668855,16.073694456776803,16.479159597414696,18.182364848528415,16.22033944012134,17.99612896809489,15.647584653013418,15.997259600514116,16.060076555544537,17.332787497221233,16.26743597595673,16.424347546432596,15.65221102155799,18.19013849488791,15.92247124170978,15.515627039227486,20.10821896277556,18.0214952709841,15.979685663151608,16.24513623548913,16.0931301269674,18.59606254789754,16.540873470678378,15.950079491494755,16.430769051842546,16.673489599946016,15.94236975122021,16.016289438086414,17.465570541111273,16.324460183038877,16.408689195241777,16.056788099726386,17.195385846259867,16.738356637536295,16.807191288605807,16.62716017934987,16.7262419204999,17.066009441350452,16.2556145840407,18.290592198164134,17.221684648088118,17.105483886825294,16.23305313420829,15.681374717745816,17.188840544300948,16.034661158770394,17.049317938062465,15.654093646710301,16.423641242295133,17.124905051860342,16.284079559056455,16.51665330906603,15.762709395201146,17.03278891092249,16.511308591357146,16.333249753741605,19.265985162931933,18.158091106763397,16.32122819446641,17.982419147069578,16.929640429900992,16.52107542834659,15.914700926788766,15.866393370880584,16.494703210801752,15.544879146781998
6,1,0,14.738832750501652,13.120051690962137,16.402304734833702,18.530068472725297,16.029018840323282,15.606143898776871,19.344670737904153,16.990616770366728,14.845392130860848,14.756111908533033,16.386212278488095,13.945735136116996,18.662856253475073,16.48027553698617,15.364173107597196,17.464123010556587,15.412814281994477,13.093114691090381,15.76482711942712,14.493122243092296,13.692536292088398,18.053504519362523,15.246546039206489,15.757170424303688,15.842348048786294,16.355725873143346,21.838083661867515,20.72696877715712,16.020447003448687,16.226584687386495,16.13491267978238,17.534598348416136,16.175054431812207,17.04066825556348,16.54812540474746,15.852546432000713,16.676578165580622,18.296952717357716,16.443394030156483,17.985092913231735,15.776030183219012,16.656780103924152,16.310166205840762,17.5371115896074,16.0645798657135,16.223573053551004,15.71169691203587,18.294223747988884,16.015858441388186,15.966312947262043,20.2799123741364,18.10492217012782,15.779200405044081,16.473354931988553,16.06587666880931,18.851001772416197,16.64306856176376,15.866614990025667,16.467484825224748,16.94581543519403,15.998253866680919,16.378370761419163,17.815539487950996,16.32978321868912,16.680776565867426,16.585905327961385,16.970712372594967,16.91245990024628,16.927599161145814,16.48190461853683,16.74455199602289,17.39331908774446,15.953452992535428,18.364106387561023,17.308351350841736,17.455444415884703,16.284962863796043,16.002365216616155,17.16831386358608,15.996100333251487,16.675866216235573,15.588541499552852,15.816672029196818,17.155150511852604,16.349339049400527,16.796819500669542,15.381053385780486,16.630318271136378,15.765162466662622,16.64472321846561,19.201612530292103,18.170521035534627,16.30185552493618,17.53861033664078,16.593133868525754,16.262301129257786,15.118514069224874,15.844475749034741,15.965337910266017,15.151279617835264
7,1,0,15.187047907839556,16.544213952803318,16.540686825172052,18.412049742307726,16.19614963917047,15.86556421748881,19.382119685565232,17.0851489221931,14.941445743480513,14.83610779916391,16.42972349217791,14.696087592939971,18.701840490625795,16.552838324420538,15.935962919645045,17.34435482516399,15.326549079497765,13.16462247866387,16.068041252722857,15.175800198261351,14.154254257325354,18.3305301541753,15.753912091064935,16.544213952803318,16.148502407146218,16.31450524111823,22.14677622072711,21.039112636371122,16.258056266631836,16.47461877876828,16.472719585949488,17.830698054196148,16.31085764799388,17.12949632811674,16.300396546869404,16.367621340726966,16.373369282740697,18.380327653505198,16.164951995698207,18.06202350533621,15.854146896273374,16.398740085354646,16.19098549156783,17.57221290040932,16.64855370917718,16.697750319991243,16.134629943601,18.538647884383785,16.295361324497453,15.866147267920523,20.51822148888454,18.368257418859397,16.016380848781413,16.553711363812386,16.38211134128533,19.020784315925948,16.754914295630606,16.05917818161678,16.746101048136467,17.014891199379043,16.35505584287453,16.518302071054475,17.99278301828179,16.64659699314534,16.738245381407847,16.481880591577983,17.435724777690567,17.133404459564773,16.879648005699813,16.978535124803493,16.919178330570503,17.646884911997468,16.501712540631853,18.825165983499446,17.767583094218534,17.547246200828127,16.814692598353044,16.16118089954557,17.57356679827444,16.328307151895736,16.92879210595837,15.512476938791803,16.136750142811845,17.85333026315885,16.77424695316723,16.78321610316493,15.021456094670649,16.742390466957392,15.859117947593063,16.90822126077545,19.555627233342758,18.64178057377956,16.65841203330652,17.472862402841606,16.697969716975688,16.044635518990226,14.846122835428513,15.76638581162113,15.938276796943233,15.547386508454272
8,1,0,14.829024705650674,16.635762070529363,16.132675813167307,18.210311680700084,16.026198659554403,15.331200693346888,19.05922168863364,16.637217832339505,14.782850545076728,15.122621664630994,16.256226462770968,15.480517477535951,18.43076826761755,16.16894379053316,15.588419173789873,17.2497047076279,15.076839320703094,16.635762070529363,15.644237048251094,15.28062870222821,12.625163865443247,17.889496160349573,15.726174458448297,16.193410256131145,15.900252372813894,16.17707897513234,22.18100190983364,21.10977089211165,16.585767248987498,16.50603851654456,16.624638440603416,17.92933417705178,16.38096417919065,17.159831665450103,16.538318101795127,16.37654302509108,16.555785922751866,18.374484801530382,16.392789116893262,18.055130055564202,15.623512802948678,16.3452667869437,16.276289251660803,17.489005408437187,16.73353417339239,16.724483973987,15.664741810617931,18.341106087667857,15.984504068023877,16.03516105941068,20.343950765090415,18.08988275026253,16.40361324576976,16.45314029851253,16.323015403440767,18.82822774129944,16.369663293309934,15.952034429433368,16.63430483828842,16.9712980525985,16.223585834901122,16.39695891434308,17.6010765422466,16.70018850069741,16.423414420097703,16.224357309710392,17.057269930443642,17.100794705345454,17.171036401723224,16.540843471038542,16.89425852973643,17.551001744046616,16.431405701344637,18.57196466935745,17.328813254524995,17.564481673669587,16.208355921938264,16.02751457750152,17.267791995532033,16.102277575310623,18.370412253544824,17.153290956503046,17.527367996278855,17.45736726168644,16.50316467070829,16.50348222632317,17.458202276042176,18.849049907766087,17.86974411984834,16.801169044844507,19.56757828143083,18.622947614919,16.763848662347474,19.631071913171102,18.72005911315576,18.243684161605074,17.58404038245175,17.56663830024529,18.133612561252164,17.493370521886714
9,1,0,14.706071326217534,12.628219200234165,16.59351836066179,18.510879104131728,16.10564832398063,15.412605196383689,19.347260554569246,17.090612724851905,14.55560011694031,14.629319135157246,16.4504779705247,14.565399511513501,18.62547923203626,16.23182693536719,15.646335540004909,17.350657563086795,15.59278050717954,14.092739699950057,15.656244026716543,15.825735151260654,13.44704178436423,18.141202226063132,15.554969189001946,16.398149211288,15.867924307606655,16.26966223777866,22.003748064108027,20.808177177484257,16.080355951693786,16.09771408938127,16.14648696222507,17.942789592321567,16.10178441596314,16.709959865322933,16.530481300570194,15.98507197889932,16.603863498669902,18.101064795397573,16.05776236513858,17.941830180579455,15.688510382353396,16.198471286788696,15.91516337092832,17.21206821843287,16.656072870270215,16.453182913247858,15.691726373702782,18.251366567609438,16.168588793819506,15.741845646575655,20.1506697841113,18.135762610414865,15.663226743443259,16.005398197336607,16.176635561642538,18.64353945560111,16.3001696279015,15.98025046112077,16.476194204948225,17.188377827867182,16.385723771189355,16.332763450769463,17.607359129607648,16.24986260629047,16.49801245989798,16.08883440896092,17.261848565675674,17.02188036348637,17.120242354955742,16.39972952090021,16.660978929024566,17.134239719116557,15.727015806120695,18.48512299142044,17.25019386785105,17.343701665644883,16.056604455060185,15.672587773205485,17.266031380045835,16.45108444756582,16.85642696356131,15.993731601842919,16.007992934524196,17.29530702213562,16.574633943245924,16.48907591255903,15.761012658334254,16.95754561996423,15.957355760413266,16.66690623550463,19.167281519883506,18.166441277248442,16.41448189761084,17.719991744317426,16.92399333296743,16.195943880569256,15.50762258343419,15.238954880465302,16.3517137501044,15.033707976717066
