Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4
10643;-0.13067133765272;0.017859776469184;0.38573775345671;-0.32136868021694
10644;-0.068556738305652;-0.010530064749975;0.35622129584878;-0.41714848330671
10645;-0.52822233166883;0.070217105693371;0.1800856178426;-0.40521849532024
10646;-2.0350913691543;0.15475279682579;-0.087711692359538;-0.30929420147332
10647;-2.480187655338;0.069081475259879;0.35116047299066;-0.42863348236022
10648;1.0720217650809;-0.21922361340961;-0.94712474393706;-0.42669712794498
10649;1.7417649394587;-0.57467839420292;-0.61368729545983;-0.11431710246819
10650;1.7304393836563;-0.57520625571004;-0.56262180586523;-0.08115068296928
10651;1.3030879612179;-0.47736937290553;-0.237084222778;-0.076696461514927
10652;-0.96596821065084;0.44145515974086;0.18893763500836;-0.21425735779237
10653;-1.7928655259759;-0.16282267010386;0.074615090130655;-0.28937292033791
10654;-2.2849778446544;-0.49941528025673;0.090093942555038;0.021985361575709
10655;-2.2689307936165;-0.43802599058447;-0.058559873099009;-0.056470766627454
10739;-1.922438262095;0.27425377910805;0.52143497268674;-0.2662969169203
10740;-1.0711798644911;0.38632090935978;0.31527992842969;-0.12580048412696
10741;-0.41204147037141;0.60249007077846;0.10318752138969;-0.1564907524845
10742;-0.43837246533088;0.64891593949078;0.1876641767493;-0.10417349401897
10743;-1.2076293772402;0.21405162074325;0.34165319190348;-0.45163116857742
10744;-1.5339163857602;0.012341764003224;0.40489113639872;-0.44158583695452
10745;-0.63682370397178;-0.028882781725726;0.33768230178541;-0.37128524321374
10746;-0.1703654607064;0.019964156332279;0.3777727849425;-0.31182096864331
10747;-0.078038114997155;-0.011226504417713;0.35785228541149;-0.42238428732104
10748;-0.37152530847067;0.075978193092845;0.22875518491542;-0.41192371631216
10835;0.35341487447333;1.2827331472905;0.0053513837903384;-0.21772381986403
10836;-0.22795839846252;1.2936482418228;0.028300916619199;-0.3105465172594
10837;-0.47144263377284;1.1568141670617;0.040178067940887;-0.28429702503175
10838;-0.619906573299;0.92168549322525;0.29526429072047;-0.32497657123094
10839;-0.93974301675834;0.51814789448752;0.13083770846349;-0.25272559793241
10840;-1.2999034642549;0.11342616805623;-0.060271781192468;-0.19408196401962
10841;-2.1328518951817;0.016808428905106;0.43555137889181;-0.22438692927134
10842;-2.1875792830034;-0.01073614631375;0.4427972971163;-0.16938096604993
