Lipid,Ventricle,Cortex,Caudate,Cortex+Caudate,Corpus Callosum,Ventral
FA1,1,0.45,0.45,0.6,0.85,0.35
FA2,0.8,0.15,0.2,0.3,0.65,0.1
FA3,0.75,0.15,0.2,0.25,0.8,0.1
FA4,0.45,0.25,0.25,0.3,0.55,0.4
ST1,0.3,0.15,0.15,0.3,0.4,0.3
SP1,0.05,0.05,0.15,0.35,0.95,0.15
SP2,0.05,0.1,0.15,0.1,0.1,0.1
SP3,0.05,0.1,0.05,0.05,0.05,0.05
SP4,0.05,0.1,0.05,0.05,0.05,0.05
GP1,0.1,0.05,0.05,0.05,0.9,0.3
GP2,0.05,0.1,0.05,0.2,0.95,0.4
GP3,0.1,0.1,0.05,0.2,0.95,0.45
GP4,0.05,0.4,0.55,0.25,0.45,0.1
