Spot index;Coefficient 1;Coefficient 2;Coefficient 3;Coefficient 4
1903;1.2921274886205;-1.11243436190202;-0.33030764966186;-0.059324758292579
1904;0.57285655044618;-1.035129307734643;0.063893092466287;0.12220738294061
1905;0.55426240940739;-1.12274109148613;0.14645347084284;0.089532155757792
1906;0.46105740496399;-1.12367525849922;0.25934430282915;-0.0034155816969505
1907;2.6603324684775;-2.0091711608648;0.073485504905457;-0.023773229766756
1908;2.0657327057291;-2.2613387400544003;0.17305926930802;0.23185159702556
1981;3.3582528008644;-1.45743664362016;-0.87041853441817;-0.21397783123416
1982;1.7419249776101;-0.926896495571185;-0.25054849163919;-0.183111006541
1983;1.5783629507302;-0.83945922597278;-0.15374180876871;-0.14478102715309
1984;0.19713976932991;-0.9917279456954368;0.66233413561007;-0.2280786804679
1985;0.82991128522389;-1.038847376184846;-0.039294669125254;0.079240742382608
1986;1.0255252277716;-1.035177282728429;-0.085803728226943;-0.072114659012752
1987;1.2325722423731;-0.61899404281637;0.16235866299188;-0.086961505708445
1988;1.322473370818;-0.58712587070812;0.16282665269567;-0.1001272875675
1989;1.881478523361;-0.73437617903302;-0.20154523541332;0.19699491551354
1990;1.0861744493721;-1.16505362674617;-0.19983586363578;0.32623892132142
1991;1.807627578093;-2.0368045947072;0.17524277251602;0.07574603912062
1992;0.78063885103611;-1.53937542910395;0.27237038500923;-0.047383338521406
1993;0.95454687875131;-1.73612728566736;0.43935791937075;-0.15222350795541
2060;3.6070525562793;-1.46765458535878;-0.39852335173314;0.0034025089658362
2061;3.7616895128395;-1.43930739544744;-0.5117367933228;-0.066026281653084
2062;3.9021465940437;-1.43149261620211;-0.61953133707717;-0.0020738707587164
2063;1.6565081665323;-0.74182621832833;-0.094342475839067;-0.19328421787834
2064;1.2851131021147;-0.7185562222869499;-0.0031599017631326;-0.065484027680774
2065;1.6135853088135;-0.77616195302874;-0.1487878570362;-0.19115378236266
2066;1.9718894436153;-0.70628911537399;-0.31258088372235;0.18554680028922
2067;1.9686682186191;-0.69669039342592;-0.28270664947277;0.19547280123142
2068;2.028954989104;-0.5405509432181199;-0.17477064921436;0.16032009204155
2069;1.5473436151234;-0.85243025433441;-0.22175615552059;-0.025348904124268
2070;1.057738783002;-0.1674594834217699;-0.11056504087293;-0.039385073356262
2071;2.0042579252251;-0.21478840276486;-0.77251615346212;-0.055927512006538
2072;2.1733025788554;-0.2725811244735999;-0.99223429750525;-0.22263731071194
2073;2.1145940596295;-0.29337707760534;-1.0384201666283;-0.24614473494039
2074;0.39247404612426;-0.38698332603767;-0.25152353030776;0.020015025881344
2075;0.61481450042107;-1.066287332476051;0.1635105593724;-0.025864142824773
2076;0.64446765099849;-1.31681159167172;0.2184192384828;-0.088236227323533
2077;0.39294040045031;-1.23367302563122;0.15983685314548;-0.017800745064933
2078;0.40650661524421;-1.22623506329988;0.17352318066818;-0.0065102482433613
2142;2.5181024390223;-1.40207154874569;0.37372078643161;-0.11585683559212
2143;3.0019461962882;-1.4179084266398;0.050150035891652;-0.018064558808142
2144;3.5929699108856;-1.40443244766209;-0.3885575140627;-0.0015274452018295
2145;3.4622379329748;-1.34017367751408;-0.36996802798949;0.092719248460473
2146;1.6802017533434;-0.69591487215356;-0.089734130831691;-0.20485246306115
2147;1.5356501428456;-0.6986390175485799;-0.16736159466506;-0.20379010259082
2148;2.9285761450606;-0.65150866580069;-1.0403270926007;-0.073672795067703
2149;3.04523198015;-0.57776195100313;-0.99413813305885;-0.056895862372404
2150;3.140741239886;-0.5786592036798;-0.98505146704622;0.017994644844903
2151;2.9653058199454;-0.56532215465731;-0.76009815911703;-0.13017039812935
2152;2.952887995227;-0.52962968608174;-0.74317536111939;-0.14633353445955
2153;0.98123264948904;0.0216973296441;-0.23445530613419;-0.0095952203304979
2154;1.9713100928563;-0.1101286677579099;-0.80776645782998;-0.046950340456337
2155;0.9852557463381;0.0499820929306999;-0.27892296621843;0.021618316357982
2156;1.3322960464732;0.0290254368433;-0.22770507849214;0.12092223289657
2157;0.81894460792968;0.2299574569497;-0.065825139076297;0.17451032638608
2158;1.0703378658374;-0.47231473436034;0.38102803291231;0.13745183297274
2159;0.70049135882907;-0.927901863595913;0.31062761573354;-0.066561382986649
2160;0.43728410957503;-1.086868098386994;0.19879571430214;-0.022060824232012
2161;0.88990414870057;-1.10505603801425;0.024060302075182;-0.12446964639405
2162;1.544785709508;-0.88160434596434;-0.05800231423418;-0.10505963846572
2224;0.73466261001766;-1.69455018532233;0.61189835313459;0.034990574036359
2225;2.0475094027277;-1.32334247549799;0.61906501484991;0.02626605000575
