m/z,1,2,3,4,5,6,compound,class,shared
408.00996,0.235040632,0.166946708,0.105327879,-0.217874181,-0.110026671,-0.145297959,"TG O-81:14, MGDG 68:4",GL,
409.23451,0.161044385,0.224881091,0.067048879,-0.098493393,-0.113239538,-0.208138179,"LPA 16:0, LPA O-16:1;O",GP,
417.23961,0.238133268,0.217296981,0.06957905,-0.140646654,-0.127202798,-0.226339278,"LPA O-18:3; FA 22:3;O3; MG 19:3;O, ST 22:0;O5",U,n
418.24291,0.227692201,0.207682957,0.062747555,-0.129173238,-0.123622862,-0.212230991,CAR 13:1;O4,FA,
418.27148,0.217583497,0.115757633,0.048950973,-0.083435883,-0.080024417,-0.175064294,"CAR 15:1, NAE 20:2;O2, MGDG 41:9",U,
419.25509,0.220536664,0.22049715,0.093869848,-0.120110375,-0.113938605,-0.26978333,"LPA O-18:2, FA 22:2;O3, MG 19:2;O",U,
420.25878,0.221766238,0.21764548,0.091028201,-0.11379507,-0.116171973,-0.269148168,"CAR 13:0;O4, CAR 12:0;O2, NAE 17:1;O4, CAR 11:0;O2, NAE 16:1;O4'",FA,
426.02027,0.091799705,0.269535834,0.131753896,-0.284096728,-0.09746199,-0.093597113,"TG 81:10;O2, TG O-81:11;O3",GL,
435.24989,0.162533296,0.211623201,0.086178066,-0.105724658,-0.136939986,-0.181701825,"FA 23:6;O3, ST 23:3;O5, FA 22:6;O3, ST 22:3;O5, DG 20:5",U,
436.28181,0.144032048,0.151728867,0.061169573,-0.070392652,-0.107702068,-0.140665027,"LPC O-13:1, LPE O-16:1",GP,
437.26542,0.128855401,0.2244466,0.088951115,-0.086528254,-0.107356589,-0.215172117,"FA 22:1;O4, LPA 18:0, LPA O-18:1;O",U,
438.26894,0.122681084,0.216702533,0.078805774,-0.075636289,-0.105510046,-0.202176374,NAT 22:4,FA,
446.30198,0.203499061,0.167026876,0.068422495,-0.136027956,-0.080176904,-0.186500129,"CAR 17:1, NAE 22:2;O2, MGDG 45:9",U,
448.00238,0.200170427,0.243373482,0.132460397,-0.300668529,-0.118192716,-0.127777494,"TG 87:19;O2, TG O-87:20;O3",GL,
462.29703,0.161644596,0.207583685,0.097231136,-0.115258903,-0.094729787,-0.223563106,"LPC O-15:2, LPE O-18:2",GP,
463.22339,0.182339429,0.140775753,0.04182516,-0.070160658,-0.062019745,-0.205169575,ST 26:5;O5,ST,
464.31256,0.122330094,0.200364478,0.081960914,-0.129174632,-0.102245963,-0.140108478,"LPC O-15:1, LPE O-18:1, CAR 17:0;O, NAE 22:1;O3",U,
480.30742,0.072058285,0.225907416,0.10545878,-0.098442178,-0.099270887,-0.175674347,"LPC 15:0, LPC O-15:1;O, LPE 18:0, LPE O-18:1;O, CAR 17:0;O2, NAE 22:1;O4",U,
540.05093,0.273249504,0.107469749,0.100951541,-0.065493038,-0.127683065,-0.249434361,,N,n
581.30625,0.194359973,0.167976936,0.094730972,-0.07984295,-0.12282192,-0.217492283,"BMP 21:1;O, LPI O-18:2, PG 21:1;O",U,
599.31631,0.201024083,0.106065164,0.068659243,0.117137233,-0.205395596,-0.241297272,"LPI 18:0, LPI O-18:1;O, BMP 20:0, LPG 20:1;O, PG 20:0, PG O-20:1;O",U,
673.47631,0.025745378,0.078515821,0.027562793,-0.051618864,0.020529742,-0.050526562,"LPA 34:2;O, LPG O-31:3, PA 34:1, PA O-34:2;O",GP,
699.49158,0.011757303,0.037553561,0.041470168,-0.072358078,0.027032655,0.005275505,"LPG O-33:4, PA 36:2, PA O-36:3;O, LPA O-34:4",GP,
701.50704,-0.005155251,-0.003856326,0.026242004,-0.027808082,0.008828195,0.034990535,"LPG O-33:3, PA 36:1, PA O-36:2;O, PEth 34:1",U,n
715.5701,0.019333072,-0.006700396,0.043633867,-0.052066038,0.032481324,0.000238506,CerPE 38:1;O2,SP,
718.53328,-0.057412483,0.029909412,0.017126003,0.004061292,0.055240669,-0.008439279,"CerP 39:1;O4, LPC 31:1;O, PC 32:0",U,
744.54832,0.008240108,0.050126291,0.024470421,-0.04278879,0.037324584,-0.028591501,"CerP 41:2;O4, LPC 33:2;O, PE 36:1",U,
745.55171,0.005432434,0.044130365,0.023918924,-0.037320191,0.037258673,-0.025773962,CL 74:0,GP,
747.49081,0.036535819,0.009136839,0.013950163,-0.005138885,0.060790207,-0.07694488,"PA 40:6, PA O-40:7;O, PEth 38:6, DG 41:7;O2, TG 41:6;O",U,
748.49314,0.03456671,0.008779665,0.014747583,-0.005006178,0.062151571,-0.077061751,"HexCer 36:6;O4, CAR 34:6;O4, DGCC 31:5",U,
766.53277,0.004574579,-0.062364863,0.050491883,-0.000183972,0.121983129,-0.06881702,"CerP 43:5;O4, PE 38:4, DGTA 34:4, LPC O-34:6",U,
767.53536,-0.00047774,-0.065169012,0.049786298,0.004633549,0.121188747,-0.064834085,"CE 21:5;O3, DG 45:9, CL 78:6",GP,
774.53656,-0.028436277,0.001259551,0.007306896,-0.037757483,0.070868246,0.021139093,"PE O-40:7, PC O-38:7",GP,
790.53134,-0.022838007,0.033185102,0.023150065,-0.02667644,0.057057338,-0.034119392,"PE 40:6, PC 38:6",GP,
791.53577,-0.021504803,0.034654338,0.02416204,-0.026946726,0.053536545,-0.03442729,CL 82:10,GP,
806.53739,-0.005306946,-0.000325605,0.011107844,0.004778112,-0.016768073,0.024128276,SHexCer 36:1;O2,SP,
807.54095,-0.00515835,-0.000830273,0.011643332,0.004666233,-0.01581182,0.023208553,"LPI 33:1, LPI O-33:2;O, PI O-33:1",GP,n
822.5323,-0.008683453,-0.047387529,0.006311922,0.010906611,0.017864365,0.043325623,"PS 39:5, PS O-39:6;O, PT 38:5, PT O-38:6;O",GP,n
834.52004,0.042603292,-0.004518503,0.000242194,0.018948216,0.063977928,-0.084290494,"PS 40:6, PT 39:6, PC O-37:8;O, PE 40:7",GP,
835.52384,0.024262514,0.003456486,0.004711205,0.014913212,0.055731303,-0.067104995,"LPI 34:2;O, PG 35:2;O",GP,
857.50892,0.00267906,0.013903846,0.038317079,-0.018541162,0.034553859,-0.040086767,"PI 36:4, PG 38:5;O",GP,
862.60026,0.058013245,-0.035266176,0.048131012,-0.069121117,0.033320272,-0.019165652,"CerP 47:3;O4, PC 39:2, PE 42:2",U,
878.59496,0.060898637,-0.053526613,0.054557393,-0.070457946,0.045884573,-0.019191122,HexCer 43:6;O6,SP,
879.59734,0.060193624,-0.054085939,0.053448709,-0.069303954,0.046489039,-0.018480287,"CerPE 42:2;O6, SM 39:2;O6",SP,
883.52567,-0.051984701,-0.016432609,0.036449625,0.015171045,0.05512073,-0.002525945,"PI 38:5, PI O-38:6;O",GP,
885.54089,-0.001833025,-0.014201986,0.050031374,-0.004247304,0.058934013,-0.047621963,"PI 38:4, PG 40:5;O",GP,
886.54472,-0.002780238,-0.015408612,0.050130621,-0.00406694,0.060020899,-0.046849833,"PC O-43:11, PE O-46:11, Hex2Cer 34:4;O4",U,
887.54721,-0.006952739,-0.013511073,0.046543095,-7.07E-05,0.057118201,-0.043170323,"PG 42:5, PG O-42:6;O",GP,
888.61552,0.005312106,0.010706237,-0.001594214,-0.041473944,-0.012952233,0.049698169,SHexCer 42:2;O2,SP,
889.61906,0.004626121,0.009656812,-0.00183376,-0.041204733,-0.012866649,0.051338299,"TG 52:10;O3, CerPE 44:3;O5, SM 41:3;O5",U,
890.63216,-0.011582958,0.027197514,-0.016882338,-0.022067305,-0.020923834,0.052281595,"PE 46:6;O, PS O-45:6, PT O-44:6",GP,
891.63478,-0.010975473,0.030230136,-0.01787699,-0.020884309,-0.023296801,0.050761597,"TG 53:10, PA O-52:11",U,
904.60995,0.001747687,-0.011854541,0.006681637,-0.036807989,-0.004913719,0.057437101,"PC 41:3;O, PE 44:3;O, PS O-43:3, PT O-42:3",GP,
906.62621,-0.009833613,0.017883013,-0.014974454,-0.020776556,-0.015078812,0.053267573,"PS 45:5, PT 44:5, PC 42:6, PE 44:6",U,
907.62918,-0.008869794,0.016976179,-0.014760776,-0.020113924,-0.016281746,0.053606984,"CerPE 44:2;O6, SM 41:2;O6",SP,
