Spot index;Coefficient 1;Coefficient 2;Coefficient 3
19067;0.28960804014030006;-0.58021399170939;-0.0796310597033
19068;0.42570414298799997;-0.54635317983121;-0.0032612117275045
19163;0.8010012576803001;-0.60266623076481;0.38312185023809
19164;1.65749275021951;-0.077128997839357;0.39893023276069
19165;3.5321122776372;0.73672237870778;0.57072001303999
19166;4.925276975024801;1.1033407736255;0.63886700440622
19167;6.2424885162849;0.76125759228636;0.86570132698764
19258;1.20204283186323;-0.2867913332014;0.59839175749619
19259;1.63990866321219;-0.053442244446844;0.47477815975979
19260;2.96948233797154;0.44893322667759;0.3485137774919
19261;4.6123758333319;0.9691568821411;0.52759349506141
19262;6.1979587059811;0.70679664908318;0.811701856248
19263;6.7454362055823;0.45399647606179;1.2123861262846
19353;1.1010513949029401;-0.17472032920749;0.67929258910975
19354;1.3661557898549899;0.036579682933956;0.62617562159148
19355;2.049292353099955;0.16680672961506;0.52592645733475
19356;3.2223487000297;0.37003534988248;0.18121589259069
19357;5.6157581261977;0.79238249017136;0.16855478659164
19358;6.2842721495345;0.537524148039;0.56721199035096
19448;0.9360659254782999;0.06188747230311;0.46471484589641
19449;1.11708216266589;0.15483079730797;0.47521376873537
19450;1.61959168655291;0.33700752202873;0.27293174011754
19451;2.72363790951457;0.5962572401351;0.2877717930947
19452;3.8242566197695;0.73431623090286;-0.063115633884058
19453;5.2798708765805;0.33505028312924;0.34516320414735
19454;5.2784661439147005;0.20221531024303;0.31411259023896
19543;0.6090825004491001;-0.019202678793102;0.43493298081319
19544;0.8622231119095001;0.27372965232212;0.36739149672882
19545;1.29575088985913;0.51701068607243;0.25761995657398
19546;2.18254643754028;0.69206790723596;-0.10752434175953
19547;3.6229388170879;0.78498842173159;-0.023587608221328
19548;4.4703712914524;0.54272380012832;-0.056351384480516
19549;5.0536300068911;0.24407971015829;0.22652661516936
19550;5.1231493748172;0.0013887621632294;0.49881233059563
19551;4.426614680043;-0.4986162696828;0.53694124676176
19552;5.7609109014376;0.76244435277688;0.96540337432871
19553;5.5576996401409;0.80232735604663;0.82350146256237
19638;0.6361473650625;0.26259926855887;0.39551474422926
19639;0.6946877315804001;0.34350808662276;0.36021977432223
19640;0.9703163719225001;0.38577941117789;0.32721729677488
19641;2.12165626900907;0.683074965802;-0.11907793626749
19642;3.2814218048345003;0.63116137469593;-0.01859286961486
19643;4.0769210309016;0.60093228113138;0.011609451340209
19644;4.7778950741122;0.21024649973917;0.18751308466031
19645;5.649413113796;0.21466177785917;0.91354413454626
19646;5.158520024750199;0.37708166968415;0.308388581664
19647;5.7187903480797;0.89260852885705;0.66668965717416
19648;5.2485270422873995;1.0300731591369;0.051303880398733
19649;5.133599301964599;1.1682629448575;-0.40763916646388
19650;4.607413343031;1.2668991210572;-1.0298668193217
19651;4.4950400206219;1.2248357385881;-1.0959683723425
19734;0.6354543224771001;0.34445288762459;0.39268075975967
19735;0.6634604937047;0.37896897484175;0.36990845037156
19736;1.14122422941049;0.43155675025823;0.1860502102077
19737;2.1864049946706;0.63520986868816;-0.1018033855482
19738;3.1271485547577003;0.74960945776595;-0.0035844904795545
19739;4.1316650426431;0.87321170080666;-0.015636016148379
19740;5.3635140016945;0.36449407220692;0.75485965944388
19741;6.2006643016397;0.42393312868644;1.2397623740137
19742;6.1280469822098;0.47960802865428;1.0491248890621
19743;5.755681249135;1.0193519722504;0.17481176593844
19744;5.1980909369026005;1.1574334546886;-0.40665237444546
19745;4.8271703158777;1.2556355651081;-0.81615207127481
19746;4.2718157680633;0.87511328375465;-0.97288774016141
19747;3.9454713369228998;0.44937024015127;-0.86247862676514
19748;3.3865451680691;0.2764350131906;-0.66602147301467
19749;2.42214667734343;0.32975081569957;-0.0019468935382467
19750;2.0029777504522603;-0.041604481989721;0.10433874003928
19751;1.85521776094672;-0.13794874925058;0.078496953889983
19830;0.6151289405496001;0.33606703304179;0.39252471194209
19831;0.6868829798584;0.33155992019976;0.32343154194696
19832;1.16286682341888;0.43168227998724;0.16376342787248
